trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.5}",30,4,-47.12613862412519,"{0: 19, 1: 3, 2: 2, 3: 2, 4: 0}",1
2,False,"{'a': 0.5, 'e': 0.25}",20,0,-114.50618957646394,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.125}",20,3,-44.27007807796745,"{0: 11, 1: 3, 2: 2, 3: 1, 4: 0}",1
4,False,"{'a': 0.5, 'e': 0.0625}",25,0,-107.35611812702086,"{0: 14, 1: 6, 2: 3, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.03125}",25,14,-57.3728947864736,"{0: 6, 1: 2, 2: 2, 3: 0, 4: 1}",1
6,False,"{'a': 0.5, 'e': 0.015625}",20,0,-73.33192902219264,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.0078125}",20,0,-21.012971241444333,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.00390625}",20,0,-99.23828780422048,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.001953125}",30,0,-194.80973057206955,"{0: 20, 1: 1, 2: 3, 3: 3, 4: 3}",0
10,False,"{'a': 0.5, 'e': 0.0009765625}",20,0,-49.913488870655094,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.00048828125}",20,0,-124.34070552966551,"{0: 11, 1: 0, 2: 6, 3: 2, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.000244140625}",20,0,-105.76839009535368,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.0001220703125}",30,0,-136.00388549282343,"{0: 22, 1: 2, 2: 1, 3: 3, 4: 2}",0
14,False,"{'a': 0.5, 'e': 6.103515625e-05}",20,0,-221.39344088309315,"{0: 6, 1: 4, 2: 5, 3: 2, 4: 3}",0
15,False,"{'a': 0.5, 'e': 3.0517578125e-05}",35,0,-166.03860194896552,"{0: 20, 1: 4, 2: 7, 3: 3, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.52587890625e-05}",20,0,-101.75798100505644,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 7.62939453125e-06}",25,0,-115.36359856899217,"{0: 17, 1: 3, 2: 2, 3: 1, 4: 2}",0
18,False,"{'a': 0.5, 'e': 3.814697265625e-06}",20,0,-108.09545926662756,"{0: 13, 1: 4, 2: 0, 3: 1, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1.9073486328125e-06}",30,0,-112.16066260325513,"{0: 19, 1: 5, 2: 3, 3: 2, 4: 1}",0
20,False,"{'a': 0.5, 'e': 9.5367431640625e-07}",25,0,-76.98654585607005,"{0: 15, 1: 3, 2: 6, 3: 1, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",20,0,-110.26799128985563,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
2,True,"{'a': 0, 'e': 0}",25,0,-167.97752014034714,"{0: 10, 1: 6, 2: 7, 3: 0, 4: 2}",0
3,True,"{'a': 0, 'e': 0}",20,0,-197.2086968966352,"{0: 5, 1: 5, 2: 6, 3: 2, 4: 2}",0
4,True,"{'a': 0, 'e': 0}",20,0,-46.302849903728145,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",20,0,-87.07151231653188,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
6,True,"{'a': 0, 'e': 0}",20,0,-152.28675090652217,"{0: 10, 1: 5, 2: 2, 3: 0, 4: 3}",0
7,True,"{'a': 0, 'e': 0}",25,0,-104.67301165495633,"{0: 15, 1: 4, 2: 4, 3: 1, 4: 1}",0
8,True,"{'a': 0, 'e': 0}",25,0,-104.1769055688041,"{0: 13, 1: 4, 2: 6, 3: 2, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",20,0,-3.3065020880243723,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",20,0,-69.95309809524733,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
